,name,state,city,address,lattitude,longitude,Total_Slots,6AM-11AM_Booked_slots,11AM-4PM_Booked_slots,4PM-10PM_Booked_slots,label_6AM_11AM,label_11AM_4PM,label_4PM_10PM
40,HPCL Yapral DC Charging Station,Telangana,Secunderabad,"Hindustan Petroleum Corporation Limited, Jai Jawahar Nagar, Yapral, Secunderabad, Telangana, India",17.502,78.539,4,3,1,1,TRUE,TRUE,TRUE
41,HP Super Service DC Charging Station,Maharashtra,Mumbai,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",18.9285,72.8255,4,2,2,4,TRUE,TRUE,FALSE
42,Vrundavan Garden DC Charging Station Nashik,Maharashtra,Dindori,"Vrundavan Garden, Nashik Dindori Road,Near Shiv Shakti Bharat Petrol pump,Rantale, Dindori, Maharashtra 422202",20.1704,73.8273,7,1,5,3,TRUE,TRUE,TRUE
43,Ganpati Petro DC Charging Station Hisar,Haryana,Sangli,"Ganpati Petro, Indian Oil Corporation, Opp. Vidut Nagar, Delhi Road, Industrial Area, Hisar, Haryana 125011",29.1332,75.7535,6,6,3,3,FALSE,TRUE,TRUE
44,Ganpati Petro AC Charging Station Hisar,Haryana,Sangli,"Ganpati Petro, Indian Oil Corporation, Opp. Vidut Nagar, Delhi Road, Industrial Area, Hisar, Haryana 125011",29.1332,75.7535,4,3,1,1,TRUE,TRUE,TRUE
45,Ashnni Pilot Circle Station,Maharashtra,Sangli,"Gangaprasad, parshwanath colony, kuthe mala, dhamni road, Sangli, Maharashtra,  416416",16.8433,74.5859,8,7,3,8,FALSE,TRUE,FALSE
46,AMC AC Charging Station,Maharashtra,Marunji,"Phase 1, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pimpri-Chinchwad, Maharashtra 411057",18.5808,73.7399,4,1,4,1,TRUE,FALSE,TRUE
47,RSTV Saharanpur AC Charging Station,Uttar Pradesh,Saharanpur,"Nanak Puram Colony, Pushpanjali Vihar, Numaish Camp, Saharanpur, Uttar Pradesh 247001",29.977,77.5753,8,5,5,5,TRUE,TRUE,TRUE
48,Mindra EV Charger Shott,Gujarat,Shela,"Shott, Sindhu Bhavan Marg, Opposite Saket-3, Next to SANKALP SQUARE, PRL Colony, Thaltej, Ahmedabad, Gujarat 380059",23.0436,72.4825,6,1,3,2,TRUE,TRUE,TRUE
49,Highway King Behror Delhi Side DC Charging Station,Rajasthan,Gajraula,"Highway King Behror, NH 8, 3 Kms from behror towards delhi, Behror, Rajasthan 301701",27.9145,76.3146,5,1,2,2,TRUE,TRUE,TRUE
50,Suket Cafe DC Charging Station Sundar Nagar,Himachal Pradesh,Gajraula,"Suket Cafe, Pungh, National Highway 21, Sundar Nagar, Himachal Pradesh 175018",31.5153,76.8765,10,10,1,8,FALSE,TRUE,TRUE
51,McDonald Gajraula DC Charging Station,Uttar Pradesh,Gajraula,"McDonald Gajraula, NH9-24 Salarpur, Dist, Gajraula, Uttar Pradesh 244235",28.8382,78.2764,10,1,7,7,TRUE,TRUE,TRUE
52,Rani Bagh Resort DC Charging Station,Rajasthan,Beawar Khas,"Rani Bagh Resort, N.H.8, By Pass Ajmer Road, Beawar, Rajasthan 305901",26.125,74.3459,6,4,6,6,TRUE,FALSE,FALSE
53,Mke Rental Circle Station,Karnataka,Bengaluru,"Mke Rental Private Limited, NH4, Tumkur Road, next to Himalaya Drugs, Makali, Karnataka 560016",13.067,77.45,9,4,3,2,TRUE,TRUE,TRUE
54,Waterwoods Lodge & Resort AC Charging Station,Karnataka,Metikuppe,"19, Karapura, N.Belthur Post Office, HD Kote Taluk, Nagarhole National Park, Karnataka 571114",11.9377,76.2655,10,3,8,3,TRUE,TRUE,TRUE
55,Kohinoor Altissimo Residential Tower,Maharashtra,Mumbai,"Kohinoor Altissimo Residential Tower, Kohinoor Altissimo, Kasaravadi, Dadar, Mumbai, Maharashtra 400028",19.0246,72.8402,10,5,4,1,TRUE,TRUE,TRUE
56,Hotel Pramila DC Charging Station Haridwar,Uttarakhand,Haridwar,"Hotel Pramila, Near Vishwakarma Ghat, NH-58,Delhi Haridwar ByPass, Road, Haridwar, Uttarakhand 249407, Phone No 9310843937",29.9324,78.1423,8,3,6,4,TRUE,TRUE,TRUE
57,P G Regency Resort Charging Station,Maharashtra,Mahad,"PG Regency,Govind Garden,103/1B, Plot no.4, Mumbai Goa HighWay, Mahad-Raigad, Mahad, Maharashtra 402301 Ph no. 7039892236",18.0855,73.4309,5,1,5,1,TRUE,FALSE,TRUE
58,Suket Cafe AC Charging Station Sundar Nagar,Himachal Pradesh,Bengaluru,"Suket Cafe, Pungh, National Highway 21, Sundar Nagar, Himachal Pradesh 175018",31.5153,76.8765,4,4,3,2,FALSE,TRUE,TRUE
59,The Forum Fiza Mall AC Charging Station Mangalore,Karnataka,Thane,"Basement parking (B1), The Forum Fiza Mall, Mangaladevi Temple Road, Pandeshwar, Mangalore - 575001",12.8576,74.8383,7,7,6,3,FALSE,FALSE,TRUE
60,MSHSD Gojer Service Charging Station    ,Karnataka,Bengaluru,"Bettadasanapura, Bengaluru, Karnataka 560100",12.8427,77.64,5,3,1,1,TRUE,TRUE,TRUE
61,Evershine Mall Charging Station,Maharashtra,Mumbai,"Chincholi Bunder Road, New Link Rd, Malad West, Mumbai, Maharashtra 400064",19.1798,72.8361,10,6,8,10,TRUE,TRUE,FALSE
62,HP Loyal Pump and Pantry Fuel Charging Station,Telangana,Secunderabad,"42-601, SP NAGAR, ECIL Main Rd, SSS Tower, MJ Colony, Moula Ali, Secunderabad, Telangana 500040",17.4677,78.5641,5,1,1,2,TRUE,TRUE,TRUE
63,Hotel Reddison Square Katra AC Charging Station,Delhi,New Delhi,"Hotel Reddison Square, near shrine board central office, Katra, Jammu and Kashmir 182301, Phone No 9310843937",32.9867,74.9238,4,3,4,4,TRUE,FALSE,FALSE
64,Hotel Mount View International AC Charging Station,Delhi,New Delhi,"Hount Mount View International, Jammu Rd, Vaishnodevi, Katra, Jammu and Kashmir 182301",32.9918,74.9306,8,3,3,7,TRUE,TRUE,FALSE
65,Hotel Dolphin AC Charging Station,Delhi,New Delhi,"Hotel Dolphin, Railway Rd, Katra, Jammu and Kashmir 182301",32.9892,74.9289,5,3,4,1,TRUE,TRUE,TRUE
66,"DMIPL EV Charging Station, Ludhiana",Punjab,Natt,"Dalbir Makkar India Pvt. Ltd., Ludhiana-Malerkotla Road, Opp. J K Resort, Rania, Ludhiana - 141122 (Punjab), Phone no 9814215411, 9316916147",30.8219,75.8668,10,4,1,1,TRUE,TRUE,TRUE
67,Z Charging Station,Gujarat,Vadodara,"Sai Vihar, Abbas Tyabji Rd, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002",22.3213,73.1881,9,1,5,3,TRUE,TRUE,TRUE
68,VEEV Brookfields,Tamil Nadu,Coimbatore,"67-71, Dr Krishnasamy Mudaliyar Rd, Ram Nagar, Coimbatore, Tamil Nadu 641001",11.0096,76.9589,10,2,1,2,TRUE,TRUE,TRUE
69,Lake Pleasant Cottage Charging Station,Uttarakhand,Bhimtal,"Naukuchiyatal  Bhimtal, Near GD Goenka School 263136 - UK",29.3237,79.5921,10,9,7,2,FALSE,TRUE,TRUE
70,Nandavan DC Charging Station Nagoan,Maharashtra,Nagaon,"Nandavan, Mahajan Wadi, Near Bhimeshwar Mandir, At Post Nagaon, Taluka Alibag, Dist. Raigarh, Pin 402204, Phone no Kedar Bane, +919923724004, Prashant Mahajan - +919619174428",18.6184,72.9004,7,2,1,3,TRUE,TRUE,TRUE
71,Uniworld Garden Charging Station,Haryana,Gurugram,"Plot No 1025, 2nd Floor, C block , sector 47, Haryana 122008",28.4273,77.0389,7,1,2,6,TRUE,TRUE,FALSE
72,Unnati Social Foundation,Maharashtra,Pimpri-Chinchwad,"Unnati Social Foundation Jarvari Society, Opposite PK International School, Pimple Saudagar, Pune",18.5948,73.7975,4,2,1,4,TRUE,TRUE,FALSE
73,"HP PETROL PUMP - SAI PETROLEUM,MUMBAI",Maharashtra,Bengaluru,"Village Katai gao, Kalyan - Shilphata Rd, Dombivli East, Mumbai, Maharashtra 421203",19.1709,73.0819,10,1,1,1,TRUE,TRUE,TRUE
74,"ShriSamarth DC Charging Station, Beed",Maharashtra,Bengaluru,"EV Charging Station, Near Mancott Jining Gevrai Road, NH 61, Phule Pimpalgaon, Maharashtra 431142",19.1779,76.168,10,5,7,6,TRUE,TRUE,TRUE
75,CNV Enterprises - HP Petrol Pump,Karnataka,Bengaluru,"No 65/20,Nallurahalli Siddapura main road,Nallurahalli main rd., Whitefield, Bengaluru,Karnataka-560066.",12.9653,77.7331,8,4,6,2,TRUE,TRUE,TRUE
76,Unity Mall Charging Station Vasai,Maharashtra,Vasai-Virar,"Unity Mall, Stella Road, next to Big Bazzar, Bhabola, Vasai West, Maharashtra 401201",19.3593,72.8123,7,7,3,1,FALSE,TRUE,TRUE
77,Advant IT Park DC Charging Station Noida,Maharashtra,Greater Noida,"Advant IT Park, Plot No. 7, Noida-Greater Noida Expy, Sector 142, Noida, Uttar Pradesh 201305",28.5007,77.4102,8,1,3,1,TRUE,TRUE,TRUE
78,Trimurtys Ariana AC Charging Station,Rajasthan,Jaipur,"Trimurtys Ariana, Khasara No 211-213, Sector 30, Ramnagaria, Tehsil, Sanganer, JDA Colony, Jagatpura, Jaipur, Rajasthan 302017",26.8312,75.8663,7,4,5,5,TRUE,TRUE,TRUE
79,Nandi Park Apartments,Karnataka,Bengaluru,"Nandi Park Apartments Gottigere, Bengaluru, Bangalo Karnataka, Indiare, Bangalore, Karnu0101taka",12.8585,77.593,7,4,1,7,TRUE,TRUE,FALSE
80,Crowne Plaza Jaipur,Rajasthan,Jaipur,"Plot No SP 1, Sitapura Industrial Area, Tonk Road, Jaipur, Rajasthan, 302022 ",26.7797,75.8282,6,4,3,5,TRUE,TRUE,FALSE
81,Pendse Garage AC Charging Station,Maharashtra,Nashik,"Pendse Garage, At post diveagar tal Shriwardhan dist raigad 402404 Phone: 9423837934",18.1655,72.9929,4,2,3,1,TRUE,TRUE,TRUE
82,Hans Resort DC Charging Station Rewari,Karnataka,Nashik,"Hans Resort, 91 Milestone, Delhi-Jaipur Highway, near Kasola Chowk, Rewari, Haryana 123401",28.1254,76.6368,9,1,9,1,TRUE,FALSE,TRUE
83,Saviruchi Veg DC Charging Station Mysore,Karnataka,Nashik,"Saviruchi Veg, Sri Venkateshwara Arcade, Malavalli, Karnataka 571430",12.3847,77.0532,8,4,7,7,TRUE,FALSE,FALSE
84,ElectriVA Test Station,Delhi,New Delhi,"3409/1, 3rd Floor, Desh Bandhu Gupta Rd, Karol Bagh, New Delhi-110005",28.6539,77.1905,7,1,5,7,TRUE,TRUE,FALSE
85,Sarode Motors Ac EV Charging Station Nashik,Maharashtra,Nashik,"Sarode Motors | Joy eBike, Shop No.01, Beside of Hotel Happy Foods, Sarode Motors, nearby Balbharati, Lekha Nagar, Nashik, Maharashtra 422010",19.9758,73.776,7,3,3,5,TRUE,TRUE,TRUE
86,The Nile AdPod,Haryana,Gurgaon,"The Nile, Sohna, Gurgaon - Delhi Expy, Rosewood City, Ghasola, Sector 49, Gurugram, Haryana 122018",28.4113,77.051,8,7,4,5,FALSE,TRUE,TRUE
87,Hotel Daulat Nikol Fast Charging Station,Maharashtra,Nashik,"Hotel Daulat Food Mall, Mumbai Agra Highway, Shirwade (Vani) Tal: Niphad, Dist: Nashik",20.2137,74.041,6,1,3,3,TRUE,TRUE,TRUE
88,New Udaan Bhawan AdPod 1,Haryana,Gurgaon,Indira Gandhi International Airport,28.553,77.0944,8,4,8,7,TRUE,FALSE,FALSE
89,New Udaan Bhawan AdPod 2,Haryana,Gurgaon,Indira Gandhi International Airport,28.5537,77.0943,4,2,2,1,TRUE,TRUE,TRUE
90,TDPL EV Charging Station 1,Rajasthan,Jaipur,Unknown Address,26.9159,75.723,5,3,1,4,TRUE,TRUE,TRUE
91,Hotel The Executive Inn AC Charging Station,Maharashtra,Shirdi,Unknown Address,19.7592,74.4763,4,4,4,4,FALSE,FALSE,FALSE
92,Hotel Bliss County DC Charging Station,Maharashtra,Dhule,Unknown Address,20.8292,74.7485,6,1,6,1,TRUE,FALSE,TRUE
93,Savoy Suites Manesar,Haryana,Gurugram,Unknown Address,28.3664,76.9436,4,2,4,2,TRUE,FALSE,TRUE
94,MV EV DC Charging Station,Maharashtra,Dahanu,Unknown Address,19.9883,72.7488,10,1,8,6,TRUE,TRUE,TRUE
95,Jamoliwala AC Charging Station,Uttarakhand,Dehradun,Unknown Address,78.0654,30.3886,6,6,2,4,FALSE,TRUE,TRUE
96,TDPL EV Charging Station 2,Rajasthan,Jaipur,Unknown Address,26.8807,75.6143,6,2,3,5,TRUE,TRUE,FALSE
97,Bhajan Singh Da Dhabha DC Charging Station,Maharashtra,Talegaon Dabhade,Unknown Address,18.7005,73.6933,10,4,7,4,TRUE,TRUE,TRUE
98,Hotel Prabhat Palace DC Charging Station,Jammu And Kashmir,Katra,Unknown Address,32.9899,74.9255,9,2,6,3,TRUE,TRUE,TRUE
99,TSREDCO Test Charging Station,Telangana,Hyderbad,Unknown Address,17.4123,78.4598,6,6,3,5,FALSE,TRUE,FALSE
100,TSREDCO Test Charging Station 1,Telangana,Hyderbad,Unknown Address,17.4125,78.4603,7,1,2,2,TRUE,TRUE,TRUE
101,Mehak Garden Charging Station,Haryana,Sirsa,Unknown Address,29.528,75.1325,6,5,6,5,FALSE,FALSE,FALSE
102,Savoy Suites Noida,Uttar Pradesh,Noida,Unknown Address,28.5801,77.3152,8,1,3,6,TRUE,TRUE,TRUE
103,Savoy Suites Greater Noida,Uttar Pradesh,Greater Noida,Unknown Address,28.4648,77.5084,10,9,6,8,FALSE,TRUE,TRUE
104,Hotel Highway King Shahpura DC Charging Station,Rajasthan,Shahpura,Unknown Address,27.487,76.0523,9,5,9,1,TRUE,FALSE,TRUE
105,Aman Hotel Kurukshetra DC Charging Station,Haryana,Shabhad,Unknown Address,30.2059,76.8575,8,6,7,1,TRUE,FALSE,TRUE
106,Evershine Tower Jaipur DC Charging Station,Rajasthan,Jaipur,Unknown Address,26.9121,75.7433,6,2,1,2,TRUE,TRUE,TRUE
107,Hotel Shree Veg Solapur DC Charging Station,Maharashtra,Bhadalwadi,Unknown Address,18.3289,74.7794,8,3,1,1,TRUE,TRUE,TRUE
108,Subway Alwar DC Charging Station,Rajasthan,Alwar,Unknown Address,28.1967,76.8128,8,2,6,4,TRUE,TRUE,TRUE
109,Asli Pappu Dhaba Kosi Kalan DC Charging Station,Uttar Pradesh,Kosi Kalan,Unknown Address,27.8327,77.4194,10,2,4,6,TRUE,TRUE,TRUE
110,140% Veg Gulshan Dhaba Kotwan DC Charging Station,Uttar Pradesh,Kotwan,Unknown Address,27.8468,77.4082,4,2,4,1,TRUE,FALSE,TRUE
111,Synrgy Ebikes Charging Station,Maharashtra,Nashik,Unknown Address,19.9705,73.7528,10,7,4,10,TRUE,TRUE,FALSE
112,ChargePit eMobility Charging Station,Maharashtra,Pune,Unknown Address,18.5996,73.7809,8,6,5,1,TRUE,TRUE,TRUE
113,MESCOM Shivamogga Charging Station 1,Karnataka,Shivamogga,Unknown Address,13.9419,75.5816,4,1,3,2,TRUE,TRUE,TRUE
114,MESCOM Mudigere Charging Station,Karnataka,Karadagodu,Unknown Address,13.1459,75.6419,8,4,6,1,TRUE,TRUE,TRUE
115,Karkala Charging Station,Karnataka,Karkala,Unknown Address,13.2244,74.9802,10,10,8,8,FALSE,TRUE,TRUE
116,MESCOM Surathkal Charging Station,Karnataka,Surathkal,Unknown Address,12.9875,74.8048,5,4,1,1,TRUE,TRUE,TRUE
117,Kaup Charging Station,Karnataka,Kaup,Unknown Address,13.2338,74.7471,10,3,3,3,TRUE,TRUE,TRUE
118,Bramavara Charging Station,Karnataka,Bramavara,Unknown Address,13.4381,74.7433,8,5,7,5,TRUE,FALSE,TRUE
119,Kundapura Charging Station,Karnataka,Kundapura,Unknown Address,13.6186,74.6919,5,4,2,1,TRUE,TRUE,TRUE
120,Manipal Charging Station,Karnataka,Manipal,Unknown Address,13.3334,74.7884,7,7,5,1,FALSE,TRUE,TRUE
121,MESCOM Aldur Charging Station,Karnataka,Chikkamagaluru,Unknown Address,13.3319,75.7731,9,9,6,1,FALSE,TRUE,TRUE
122,Statiq RnD Centre DC Charging Station,Haryana,Gurgaon,Unknown Address,28.4997,77.0839,7,1,4,3,TRUE,TRUE,TRUE
123,Park Plaza Gurgaon DC Charging Station,Haryana,Gurugram,Unknown Address,28.4597,77.0758,8,1,1,7,TRUE,TRUE,FALSE
124,PADMASHREE Charging Station,Karnataka,Mudbidri,Unknown Address,13.074,75.0025,4,1,1,3,TRUE,TRUE,TRUE
125,Monsoon Breeze AdPod,Haryana,Gurugram,Unknown Address,28.3687,76.966,4,1,1,4,TRUE,TRUE,FALSE
126,Decathlon Anubhava,Maharashtra,Bengaluru,"Survey No 78/10, A2, Bellary Road, Bangalore Airport Road, Chikkajala,",13.169102,77.632018,4,2,3,2,TRUE,TRUE,TRUE
127,Forum Shantiniketan,Maharashtra,Bengaluru,"Whitefield Main Road, Hoodi, Thigalarapalya, Krishnarajapura, Bengaluru, Karnataka ",12.9892355,77.7279077,10,6,8,7,TRUE,TRUE,TRUE
128,Park Square Mall,Maharashtra,Bengaluru,"UB1 Parking.40, ITPB Main Road, International Tech Park, Whitefield Main Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",12.98729992,77.73639679,10,7,5,7,TRUE,TRUE,TRUE
129,GT World Mall,Maharashtra,Bengaluru,"Magadi Main Rd, next to Prasanna Theatre, Cholourpalya, Bengaluru, Karnataka 560023",12.97399998,77.55139923,6,2,3,3,TRUE,TRUE,TRUE
130,Orion Mall,Maharashtra,Bengaluru,"Dr Rajkumar Road, Rajajinagar,",13.011065,77.554534,4,1,2,3,TRUE,TRUE,TRUE
131,Phoenix Market City,Maharashtra,Pune,"S No 207, Viman Nagar Road, Phoenix Road, Viman Nagar, Pune, Maharashtra",18.56191891,73.91668073,5,1,2,5,TRUE,TRUE,FALSE
132,Phoenix Market City,Odisha,Bengaluru,"Whitefield Main Road, Mahadevpura, Bengaluru, Karnataka 560048",12.99709988,77.69629669,8,2,4,5,TRUE,TRUE,TRUE
133,Patel's Inn,Odisha,Bengaluru,"No 1, 15th Cross, 2nd Block, Govindaraj Garden, R.T Nagar, ",13.0209071,77.5979841,7,6,4,4,FALSE,TRUE,TRUE
134,Coco Jaunt 1728 - Anna Nagar,Pondicherry,Chennai," t-2, 4th Main Rd, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",13.09020042,80.21749878,6,4,2,2,TRUE,TRUE,TRUE
135,Infinitea,Punjab,Bengaluru,"6,ESI Hospital Road HAL 2nd Stage, 100 feet road, Indiranagar, Doopanahalli, Bengaluru, Karnataka",12.96899986,77.63619995,10,2,1,6,TRUE,TRUE,TRUE
136,The Only Place,Punjab,Bengaluru,"Siddam Setty Complex, Museum Rd, Next To, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",12.97309971,77.603302,10,9,4,10,FALSE,TRUE,FALSE
137,Fab Cafe,Rajasthan,Bengaluru,"915, Kenchena Halli Rd, Remco Bhel Layout, Kenchenhalli, RR Nagar,560098",12.93410015,77.51719666,4,3,3,4,TRUE,TRUE,FALSE
